crim,zn,indus,nox,rm,age,dis,rad,tax,black,lstat,ptratio,medv
0.14476,0.0,10.01,0.547,5.731,65.2,2.7592,6.0,432.0,391.5,13.61,17.8,19.3
8.24809,0.0,18.1,0.713,7.393,99.3,2.4527,24.0,666.0,375.87,16.74,20.2,17.8
0.55007,20.0,3.97,0.647,7.206,91.6,1.9301,5.0,264.0,387.89,8.1,13.0,36.5
24.3938,0.0,18.1,0.7,4.652,100.0,1.4672,24.0,666.0,396.9,28.28,20.2,10.5
0.10328,25.0,5.13,0.453,5.927,47.2,6.932,8.0,284.0,396.9,9.22,19.7,19.6
0.18836,0.0,6.91,0.448,5.786,33.3,5.1004,3.0,233.0,396.9,14.15,17.9,20.0
0.2896,0.0,9.69,0.585,5.39,72.9,2.7986,6.0,391.0,396.9,21.14,19.2,19.7
0.40202,0.0,9.9,0.544,6.382,67.2,3.5325,4.0,304.0,395.21,10.36,18.4,23.1
0.25356,0.0,9.9,0.544,5.705,77.7,3.945,4.0,304.0,396.42,11.5,18.4,16.2
0.08826,0.0,10.81,0.413,6.417,6.6,5.2873,4.0,305.0,383.73,6.72,19.2,24.2
0.02055,85.0,0.74,0.41,6.383,35.7,9.1876,2.0,313.0,396.9,5.77,17.3,24.7
0.02187,60.0,2.93,0.401,6.8,9.9,6.2196,1.0,265.0,393.37,5.03,15.6,31.1
0.05561,70.0,2.24,0.4,7.041,10.0,7.8278,5.0,358.0,371.58,4.74,14.8,29.0
2.73397,0.0,19.58,0.871,5.597,94.9,1.5257,5.0,403.0,351.85,21.45,14.7,15.4
9.59571,0.0,18.1,0.693,6.404,100.0,1.639,24.0,666.0,376.11,20.31,20.2,12.1
0.66351,20.0,3.97,0.647,7.333,100.0,1.8946,5.0,264.0,383.29,7.79,13.0,36.0
0.11425,0.0,13.89,0.55,6.373,92.4,3.3633,5.0,276.0,393.74,10.5,16.4,23.0
0.01501,80.0,2.01,0.435,6.635,29.7,8.344,4.0,280.0,390.94,5.99,17.0,24.5
13.5222,0.0,18.1,0.631,3.863,100.0,1.5106,24.0,666.0,131.42,13.33,20.2,23.1
15.1772,0.0,18.1,0.74,6.152,100.0,1.9142,24.0,666.0,9.32,26.45,20.2,8.7
0.02985,0.0,2.18,0.458,6.43,58.7,6.0622,3.0,222.0,394.12,5.21,18.7,28.7
13.9134,0.0,18.1,0.713,6.208,95.0,2.2222,24.0,666.0,100.63,15.17,20.2,11.7
0.08829,12.5,7.87,0.524,6.012,66.6,5.5605,5.0,311.0,395.6,12.43,15.2,22.9
0.06263,0.0,11.93,0.573,6.593,69.1,2.4786,1.0,273.0,391.99,9.67,21.0,22.4
0.06911,45.0,3.44,0.437,6.739,30.8,6.4798,5.0,398.0,389.71,4.69,15.2,30.5
13.3598,0.0,18.1,0.693,5.887,94.7,1.7821,24.0,666.0,396.9,16.35,20.2,12.7
4.55587,0.0,18.1,0.718,3.561,87.9,1.6132,24.0,666.0,354.7,7.12,20.2,27.5
0.1,34.0,6.09,0.433,6.982,17.7,5.4917,7.0,329.0,390.43,4.86,16.1,33.1
10.0623,0.0,18.1,0.584,6.833,94.3,2.0882,24.0,666.0,81.33,19.69,20.2,14.1
0.14231,0.0,10.01,0.547,6.254,84.2,2.2565,6.0,432.0,388.74,10.45,17.8,18.5
0.0315,95.0,1.47,0.403,6.975,15.3,7.6534,3.0,402.0,396.9,4.56,17.0,34.9
0.15876,0.0,10.81,0.413,5.961,17.5,5.2873,4.0,305.0,376.94,9.88,19.2,21.7
0.38735,0.0,25.65,0.581,5.613,95.6,1.7572,2.0,188.0,359.29,27.26,19.1,15.7
20.7162,0.0,18.1,0.659,4.138,100.0,1.1781,24.0,666.0,370.22,23.34,20.2,11.9
0.06899,0.0,25.65,0.581,5.87,69.7,2.2577,2.0,188.0,389.15,14.37,19.1,22.0
0.33147,0.0,6.2,0.507,8.247,70.4,3.6519,8.0,307.0,378.95,3.95,17.4,48.3
5.09017,0.0,18.1,0.713,6.297,91.8,2.3682,24.0,666.0,385.09,17.27,20.2,16.1
51.1358,0.0,18.1,0.597,5.757,100.0,1.413,24.0,666.0,2.6,10.11,20.2,15.0
0.7258,0.0,8.14,0.538,5.727,69.5,3.7965,4.0,307.0,390.95,11.28,21.0,18.2
0.04203,28.0,15.04,0.464,6.442,53.6,3.6659,4.0,270.0,395.01,8.16,18.2,22.9
0.0136,75.0,4.0,0.41,5.888,47.6,7.3197,3.0,469.0,396.9,14.8,21.1,18.9
6.96215,0.0,18.1,0.7,5.713,97.0,1.9265,24.0,666.0,394.43,17.11,20.2,15.1
7.75223,0.0,18.1,0.713,6.301,83.7,2.7831,24.0,666.0,272.21,16.23,20.2,14.9
0.2498,0.0,21.89,0.624,5.857,98.2,1.6686,4.0,437.0,392.04,21.32,21.2,13.3
0.54452,0.0,21.89,0.624,6.151,97.9,1.6687,4.0,437.0,396.9,18.46,21.2,17.8
7.67202,0.0,18.1,0.693,5.747,98.9,1.6334,24.0,666.0,393.1,19.92,20.2,8.5
0.28392,0.0,7.38,0.493,5.708,74.3,4.7211,5.0,287.0,391.13,11.74,19.6,18.5
1.34284,0.0,19.58,0.605,6.066,100.0,1.7573,5.0,403.0,353.89,6.43,14.7,24.3
0.01439,60.0,2.93,0.401,6.604,18.8,6.2196,1.0,265.0,376.7,4.38,15.6,29.1
1.35472,0.0,8.14,0.538,6.072,100.0,4.175,4.0,307.0,376.73,13.04,21.0,14.5
0.13058,0.0,10.01,0.547,5.872,73.1,2.4775,6.0,432.0,338.63,15.37,17.8,20.4
0.0456,0.0,13.89,0.55,5.888,56.0,3.1121,5.0,276.0,392.8,13.51,16.4,23.3
0.25387,0.0,6.91,0.448,5.399,95.3,5.87,3.0,233.0,396.9,30.81,17.9,14.4
0.00632,18.0,2.31,0.538,6.575,65.2,4.09,1.0,296.0,396.9,4.98,15.3,24.0
0.0459,52.5,5.32,0.405,6.315,45.6,7.3172,6.0,293.0,396.9,7.6,16.6,22.3
0.23912,0.0,9.69,0.585,6.019,65.3,2.4091,6.0,391.0,396.9,12.92,19.2,21.2
2.37934,0.0,19.58,0.871,6.13,100.0,1.4191,5.0,403.0,172.91,27.8,14.7,13.8
0.0686,0.0,2.89,0.445,7.416,62.5,3.4952,2.0,276.0,396.9,6.19,18.0,33.2
0.10659,80.0,1.91,0.413,5.936,19.5,10.5857,4.0,334.0,376.04,5.57,22.0,20.6
0.6147,0.0,6.2,0.507,6.618,80.8,3.2721,8.0,307.0,396.9,7.6,17.4,30.1
0.17505,0.0,5.96,0.499,5.966,30.2,3.8473,5.0,279.0,393.43,10.13,19.2,24.7
15.8603,0.0,18.1,0.679,5.896,95.4,1.9096,24.0,666.0,7.68,24.39,20.2,8.3
0.06905,0.0,2.18,0.458,7.147,54.2,6.0622,3.0,222.0,396.9,5.33,18.7,36.2
0.10793,0.0,8.56,0.52,6.195,54.4,2.7778,5.0,384.0,393.49,13.0,20.9,21.7
0.08221,22.0,5.86,0.431,6.957,6.8,8.9067,7.0,330.0,386.09,3.53,19.1,29.6
25.9406,0.0,18.1,0.679,5.304,89.1,1.6475,24.0,666.0,127.36,26.64,20.2,10.4
0.14866,0.0,8.56,0.52,6.727,79.9,2.7778,5.0,384.0,394.76,9.42,20.9,27.5
0.06417,0.0,5.96,0.499,5.933,68.2,3.3603,5.0,279.0,396.9,9.68,19.2,18.9
0.14932,25.0,5.13,0.453,5.741,66.2,7.2254,8.0,284.0,395.11,13.15,19.7,18.7
0.17446,0.0,10.59,0.489,5.96,92.1,3.8771,4.0,277.0,393.25,17.27,18.6,21.7
2.24236,0.0,19.58,0.605,5.854,91.8,2.422,5.0,403.0,395.11,11.64,14.7,22.7
0.20746,0.0,27.74,0.609,5.093,98.0,1.8226,4.0,711.0,318.43,29.68,20.1,8.1
0.05188,0.0,4.49,0.449,6.015,45.1,4.4272,3.0,247.0,395.99,12.86,18.5,22.5
0.09266,34.0,6.09,0.433,6.495,18.4,5.4917,7.0,329.0,383.61,8.67,16.1,26.4
0.31827,0.0,9.9,0.544,5.914,83.2,3.9986,4.0,304.0,390.7,18.33,18.4,17.8
0.09378,12.5,7.87,0.524,5.889,39.0,5.4509,5.0,311.0,390.5,15.71,15.2,21.7
0.14103,0.0,13.92,0.437,5.79,58.0,6.32,4.0,289.0,396.9,15.84,16.0,20.3
0.22188,20.0,6.96,0.464,7.691,51.8,4.3665,3.0,223.0,390.77,6.58,18.6,35.2
5.66637,0.0,18.1,0.74,6.219,100.0,2.0048,24.0,666.0,395.69,16.59,20.2,18.4
0.46296,0.0,6.2,0.504,7.412,76.9,3.6715,8.0,307.0,376.14,5.25,17.4,31.7
0.01301,35.0,1.52,0.442,7.241,49.3,7.0379,1.0,284.0,394.74,5.49,15.5,32.7
15.288,0.0,18.1,0.671,6.649,93.3,1.3449,24.0,666.0,363.02,23.24,20.2,13.9
0.44178,0.0,6.2,0.504,6.552,21.4,3.3751,8.0,307.0,380.34,3.76,17.4,31.5
0.33045,0.0,6.2,0.507,6.086,61.5,3.6519,8.0,307.0,376.75,10.88,17.4,24.0
0.1712,0.0,8.56,0.52,5.836,91.9,2.211,5.0,384.0,395.67,18.66,20.9,19.5
0.08265,0.0,13.92,0.437,6.127,18.4,5.5027,4.0,289.0,396.9,8.58,16.0,23.9
1.00245,0.0,8.14,0.538,6.674,87.3,4.239,4.0,307.0,380.23,11.98,21.0,21.0
0.0795,60.0,1.69,0.411,6.579,35.9,10.7103,4.0,411.0,370.78,5.49,18.3,24.1
1.51902,0.0,19.58,0.605,8.375,93.9,2.162,5.0,403.0,388.45,3.32,14.7,50.0
0.06588,0.0,2.46,0.488,7.765,83.3,2.741,3.0,193.0,395.56,7.56,17.8,39.8
0.75026,0.0,8.14,0.538,5.924,94.1,4.3996,4.0,307.0,394.33,16.3,21.0,15.6
67.9208,0.0,18.1,0.693,5.683,100.0,1.4254,24.0,666.0,384.97,22.98,20.2,5.0
0.17331,0.0,9.69,0.585,5.707,54.0,2.3817,6.0,391.0,396.9,12.01,19.2,21.8
0.02875,28.0,15.04,0.464,6.211,28.9,3.6659,4.0,270.0,396.33,6.21,18.2,25.0
0.09744,0.0,5.96,0.499,5.841,61.4,3.3779,5.0,279.0,377.56,11.41,19.2,20.0
0.52058,0.0,6.2,0.507,6.631,76.5,4.148,8.0,307.0,388.45,9.54,17.4,25.1
0.15936,0.0,6.91,0.448,6.211,6.5,5.7209,3.0,233.0,394.46,7.44,17.9,24.7
4.54192,0.0,18.1,0.77,6.398,88.0,2.5182,24.0,666.0,374.56,7.79,20.2,25.0
0.1403,22.0,5.86,0.431,6.487,13.0,7.3967,7.0,330.0,396.28,5.9,19.1,24.4
0.62356,0.0,6.2,0.507,6.879,77.7,3.2721,8.0,307.0,390.39,9.93,17.4,27.5
0.10959,0.0,11.93,0.573,6.794,89.3,2.3889,1.0,273.0,393.45,6.48,21.0,22.0
14.4383,0.0,18.1,0.597,6.852,100.0,1.4655,24.0,666.0,179.36,19.78,20.2,27.5
0.04544,0.0,3.24,0.46,6.144,32.2,5.8736,4.0,430.0,368.57,9.09,16.9,19.8
3.69695,0.0,18.1,0.718,4.963,91.4,1.7523,24.0,666.0,316.03,14.0,20.2,21.9
20.0849,0.0,18.1,0.7,4.368,91.2,1.4395,24.0,666.0,285.83,30.63,20.2,8.8
0.03049,55.0,3.78,0.484,6.874,28.1,6.4654,5.0,370.0,387.97,4.61,17.6,31.2
0.38214,0.0,6.2,0.504,8.04,86.5,3.2157,8.0,307.0,387.38,3.13,17.4,37.6
0.1029,30.0,4.93,0.428,6.358,52.9,7.0355,6.0,300.0,372.75,11.22,16.6,22.2
0.10469,40.0,6.41,0.447,7.267,49.0,4.7872,4.0,254.0,389.25,6.05,17.6,33.2
0.11747,12.5,7.87,0.524,6.009,82.9,6.2267,5.0,311.0,396.9,13.27,15.2,18.9
1.13081,0.0,8.14,0.538,5.713,94.1,4.233,4.0,307.0,360.17,22.6,21.0,12.7
0.05083,0.0,5.19,0.515,6.316,38.1,6.4584,5.0,224.0,389.71,5.68,20.2,22.2
0.07244,60.0,1.69,0.411,5.884,18.5,10.7103,4.0,411.0,392.33,7.79,18.3,18.6
0.15038,0.0,25.65,0.581,5.856,97.0,1.9444,2.0,188.0,370.31,25.41,19.1,17.3
0.28955,0.0,10.59,0.489,5.412,9.8,3.5875,4.0,277.0,348.93,29.55,18.6,23.7
0.22969,0.0,10.59,0.489,6.326,52.5,4.3549,4.0,277.0,394.87,10.97,18.6,24.4
9.92485,0.0,18.1,0.74,6.251,96.6,2.198,24.0,666.0,388.52,16.44,20.2,12.6
